nombre,descripcion,precio,stock,tipo_producto,condicion,categoria_id
Motherboard Z790,"¡Potenciá tu setup con Motherboard Z790! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: LGA 1700
• Formato: ATX
• Memoria Máx: 192GB DDR5 7200MHz+
• VRM: 16+1+1 Fases
• PCIe: 5.0

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",354.43,3,Componente,Nuevo,3
Motherboard X670E,"¡Potenciá tu setup con Motherboard X670E! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: AM5
• Formato: Extended ATX
• Memoria Máx: 192GB DDR5
• VRM: 18+2+2 Fases
• Dual PCIe 5.0 (GPU y M.2)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",433.12,3,Componente,Nuevo,3
Procesador AMD Athlon 3000G,"¡Potenciá tu setup con Procesador AMD Athlon 3000G! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 2
• Hilos: 4
• Frecuencia Base: 3.5 GHz
• Gráficos: Radeon Vega 3
• TDP: 35W
• Socket: AM4

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",51.32,17,Componente,Nuevo,4
Procesador AMD Ryzen 5 4600G,"¡Potenciá tu setup con Procesador AMD Ryzen 5 4600G! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 6
• Hilos: 12
• Frecuencia Turbo: 4.2 GHz
• Gráficos: Radeon Graphics
• Caché L3: 8MB
• TDP: 65W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",114.27,21,Componente,Nuevo,4
Procesador Intel Core i5 12400F,"¡Potenciá tu setup con Procesador Intel Core i5 12400F! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 6 (P-Cores)
• Hilos: 12
• Frecuencia Turbo: 4.4 GHz
• Caché: 18MB
• Gráficos: No (Requiere GPU)
• TDP: 65W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",153.27,10,Componente,Nuevo,4
Procesador Intel Core i7 13700K,"¡Potenciá tu setup con Procesador Intel Core i7 13700K! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 16 (8P+8E)
• Hilos: 24
• Frecuencia Turbo: 5.4 GHz
• Caché: 30MB
• Gráficos: UHD 770
• TDP Máx: 253W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",409.17,7,Componente,Nuevo,4
Procesador Intel Core i9 14900K,"¡Potenciá tu setup con Procesador Intel Core i9 14900K! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 24 (8P+16E)
• Hilos: 32
• Frecuencia Turbo: 6.0 GHz
• Caché: 36MB
• Gráficos: UHD 770
• TDP Máx: 253W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",669.18,7,Componente,Nuevo,4
Procesador AMD Ryzen 9 7950X,"¡Potenciá tu setup con Procesador AMD Ryzen 9 7950X! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Procesadores.

--- CARACTERÍSTICAS TÉCNICAS ---
• Núcleos: 16
• Hilos: 32
• Frecuencia Turbo: 5.7 GHz
• Caché L3: 64MB
• Arquitectura: Zen 4
• TDP: 170W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",645.23,3,Componente,Nuevo,4
Placa de Video GTX 1650 4GB,"¡Potenciá tu setup con Placa de Video GTX 1650 4GB! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 4GB GDDR6
• Bus: 128-bit
• Cuda Cores: 896
• Puertos: DisplayPort, HDMI, DVI
• TDP: 75W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",147.79,10,Componente,Nuevo,5
Placa de Video RX 6600 8GB,"¡Potenciá tu setup con Placa de Video RX 6600 8GB! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 8GB GDDR6
• Bus: 128-bit
• Stream Processors: 1792
• Arquitectura: RDNA 2
• Ray Tracing: Sí

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",234.01,13,Componente,Nuevo,5
Placa de Video RTX 4060 8GB,"¡Potenciá tu setup con Placa de Video RTX 4060 8GB! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 8GB GDDR6
• Bus: 128-bit
• Cuda Cores: 3072
• DLSS 3.0: Sí
• Consumo: 115W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",320.22,4,Componente,Nuevo,5
Placa de Video RTX 4070 12GB,"¡Potenciá tu setup con Placa de Video RTX 4070 12GB! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 12GB GDDR6X
• Bus: 192-bit
• Cuda Cores: 5888
• DLSS 3.0: Sí
• Consumo: 200W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",585.02,6,Componente,Nuevo,5
Placa de Video RTX 4080 SUPER 16GB,"¡Potenciá tu setup con Placa de Video RTX 4080 SUPER 16GB! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 16GB GDDR6X
• Bus: 256-bit
• Cuda Cores: 10240
• DLSS 3.5: Sí
• Consumo: 320W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",985.29,3,Componente,Nuevo,5
Placa de Video RTX 4090 24GB,"¡Potenciá tu setup con Placa de Video RTX 4090 24GB! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Placas de Video.

--- CARACTERÍSTICAS TÉCNICAS ---
• VRAM: 24GB GDDR6X
• Bus: 384-bit
• Cuda Cores: 16384
• Rendimiento: Extremo 4K/8K
• Consumo: 450W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",1909.0,2,Componente,Nuevo,5
Memoria RAM 8GB DDR4 2666MHz,"¡Potenciá tu setup con Memoria RAM 8GB DDR4 2666MHz! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 8GB
• Tipo: DDR4
• Velocidad: 2666 MHz
• Formato: U-DIMM
• Latencia: CL19

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",19.16,35,Componente,Nuevo,6
Memoria RAM 16GB DDR4 3200MHz,"¡Potenciá tu setup con Memoria RAM 16GB DDR4 3200MHz! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 16GB
• Tipo: DDR4
• Velocidad: 3200 MHz
• Disipador: Sí
• Latencia: CL16

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",41.74,20,Componente,Nuevo,6
Memoria RAM 32GB (2x16) DDR4 3200MHz,"¡Potenciá tu setup con Memoria RAM 32GB (2x16) DDR4 3200MHz! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 32GB (2 Módulos de 16GB)
• Tipo: DDR4
• Velocidad: 3200 MHz
• Latencia: CL16
• Dual Channel

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",79.37,28,Componente,Nuevo,6
Memoria RAM 16GB DDR5 5200MHz,"¡Potenciá tu setup con Memoria RAM 16GB DDR5 5200MHz! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 16GB
• Tipo: DDR5
• Velocidad: 5200 MHz
• Disipador: Aluminio
• Latencia: CL40

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",56.79,25,Componente,Nuevo,6
Memoria RAM 32GB (2x16) DDR5 6000MHz,"¡Potenciá tu setup con Memoria RAM 32GB (2x16) DDR5 6000MHz! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 32GB (Kit Dual)
• Tipo: DDR5
• Velocidad: 6000 MHz
• Latencia: CL36
• Soporte AMD EXPO / Intel XMP

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",127.95,11,Componente,Nuevo,6
Memoria RAM 64GB (2x32) DDR5 6400MHz,"¡Potenciá tu setup con Memoria RAM 64GB (2x32) DDR5 6400MHz! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Memorias RAM.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 64GB (Kit Dual Extremo)
• Tipo: DDR5
• Velocidad: 6400 MHz
• Latencia: CL32
• Ideal para Workstations

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",240.85,9,Componente,Nuevo,6
Disco Rígido HDD 500GB 7200RPM,"¡Potenciá tu setup con Disco Rígido HDD 500GB 7200RPM! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 500GB
• Formato: 3.5""
• Interfaz: SATA III 6.0Gb/s
• Velocidad: 7200 RPM
• Caché: 32MB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",19.16,62,Componente,Nuevo,8
Disco Rígido HDD 2TB 7200RPM,"¡Potenciá tu setup con Disco Rígido HDD 2TB 7200RPM! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 2TB
• Formato: 3.5""
• Interfaz: SATA III 6.0Gb/s
• Velocidad: 7200 RPM
• Caché: 256MB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",64.32,25,Componente,Nuevo,8
Disco Rígido HDD 4TB 7200RPM,"¡Potenciá tu setup con Disco Rígido HDD 4TB 7200RPM! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 4TB
• Formato: 3.5""
• Interfaz: SATA III
• Velocidad: 7200 RPM
• Caché: 256MB
• Uso: PC/Almacenamiento masivo

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",109.48,18,Componente,Nuevo,8
Disco Rígido HDD 8TB NAS,"¡Potenciá tu setup con Disco Rígido HDD 8TB NAS! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 8TB
• Formato: 3.5""
• Interfaz: SATA III
• Velocidad: 7200 RPM
• Caché: 256MB
• Optimizados para NAS 24/7

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",240.85,8,Componente,Nuevo,8
Disco Rígido HDD 14TB Enterprise,"¡Potenciá tu setup con Disco Rígido HDD 14TB Enterprise! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 14TB
• Formato: 3.5""
• Interfaz: SATA III
• Velocidad: 7200 RPM
• Caché: 512MB
• Sellado en Helio

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",413.96,6,Componente,Nuevo,8
Disco Rígido HDD 18TB Enterprise,"¡Potenciá tu setup con Disco Rígido HDD 18TB Enterprise! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de HDD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 18TB
• Formato: 3.5""
• Interfaz: SATA III
• Velocidad: 7200 RPM
• MTBF: 2.5 Millones de horas
• Carga de trabajo pesada

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",526.86,3,Componente,Nuevo,8
Disco Solido SSD 240GB SATA III,"¡Potenciá tu setup con Disco Solido SSD 240GB SATA III! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 240GB
• Formato: 2.5""
• Interfaz: SATA III
• Lectura Seq: 500 MB/s
• Escritura Seq: 450 MB/s

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",16.42,80,Componente,Nuevo,9
Disco Solido SSD 960GB SATA III,"¡Potenciá tu setup con Disco Solido SSD 960GB SATA III! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 960GB
• Formato: 2.5""
• Interfaz: SATA III
• Lectura Seq: 520 MB/s
• Escritura Seq: 500 MB/s

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",56.79,26,Componente,Nuevo,9
Disco Solido SSD 500GB M.2 NVMe Gen3,"¡Potenciá tu setup con Disco Solido SSD 500GB M.2 NVMe Gen3! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 500GB
• Formato: M.2 2280
• Interfaz: PCIe Gen3 x4 NVMe
• Lectura Seq: 2100 MB/s
• Escritura Seq: 1500 MB/s

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",37.63,23,Componente,Nuevo,9
Disco Solido SSD 1TB M.2 NVMe Gen4,"¡Potenciá tu setup con Disco Solido SSD 1TB M.2 NVMe Gen4! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 1TB
• Formato: M.2 2280
• Interfaz: PCIe Gen4 x4 NVMe
• Lectura Seq: 7000 MB/s
• Escritura Seq: 5000 MB/s

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",86.9,16,Componente,Nuevo,9
Disco Solido SSD 2TB Extreme,"¡Potenciá tu setup con Disco Solido SSD 2TB Extreme! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 2TB
• Formato: M.2 2280
• Interfaz: PCIe Gen4 x4 NVMe
• Lectura Seq: 7300 MB/s
• Disipador incluido

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",195.69,14,Componente,Nuevo,9
Disco Solido SSD 4TB M.2 NVMe Gen4,"¡Potenciá tu setup con Disco Solido SSD 4TB M.2 NVMe Gen4! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de SSD.

--- CARACTERÍSTICAS TÉCNICAS ---
• Capacidad: 4TB
• Formato: M.2 2280
• Interfaz: PCIe Gen4 x4 NVMe
• Lectura Seq: 7400 MB/s
• TBW: 2400TB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",338.69,7,Componente,Nuevo,9
Fuente 500W Generica,"¡Potenciá tu setup con Fuente 500W Generica! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 500W
• Certificación: Ninguna
• Formato: ATX
• Ventilador: 120mm
• Conectores: 2x SATA, 1x Molex

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",19.84,50,Componente,Nuevo,10
Fuente 600W 80 Plus Bronze,"¡Potenciá tu setup con Fuente 600W 80 Plus Bronze! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 600W
• Certificación: 80 Plus Bronze (Eficiencia >85%)
• Formato: ATX
• PFC Activo
• Protecciones: OVP, UVP, SCP, OPP

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",67.05,27,Componente,Nuevo,10
Fuente 700W 80 Plus Bronze,"¡Potenciá tu setup con Fuente 700W 80 Plus Bronze! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 700W
• Certificación: 80 Plus Bronze
• Formato: ATX
• Cables mallados
• Protecciones Completas

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",82.79,17,Componente,Nuevo,10
Fuente 850W 80 Plus Gold Modular,"¡Potenciá tu setup con Fuente 850W 80 Plus Gold Modular! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 850W
• Certificación: 80 Plus Gold (Eficiencia >90%)
• Cableado: 100% Modular
• Capacitores japoneses
• Ideal para RTX 4070/4080

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",141.64,11,Componente,Nuevo,10
Fuente 1200W 80 Plus Platinum,"¡Potenciá tu setup con Fuente 1200W 80 Plus Platinum! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 1200W
• Certificación: 80 Plus Platinum (Eficiencia >92%)
• Cableado: 100% Modular
• Ventilador Híbrido Silencioso

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",275.74,12,Componente,Nuevo,10
Fuente 1600W 80 Plus Titanium,"¡Potenciá tu setup con Fuente 1600W 80 Plus Titanium! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Fuentes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Potencia: 1600W
• Certificación: 80 Plus Titanium (Eficiencia >94%)
• Máxima estabilidad y potencia
• Monitoreo digital

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",433.12,7,Componente,Nuevo,10
Gabinete Oficina ATX,"¡Potenciá tu setup con Gabinete Oficina ATX! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Mid Tower ATX
• Material: Acero SPCC
• Panel lateral: Metálico cerrado
• Puertos: 2x USB 2.0, Audio
• Fuente: No incluida

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",27.37,59,Componente,Nuevo,11
Gabinete Gamer ATX 3 Coolers,"¡Potenciá tu setup con Gabinete Gamer ATX 3 Coolers! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Mid Tower ATX
• Panel lateral: Acrílico acrílico
• Ventilación: Incluye 3 ventiladores RGB de 120mm
• PSU Cover

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",67.05,17,Componente,Nuevo,11
Gabinete Gamer ATX 6 Coolers RGB,"¡Potenciá tu setup con Gabinete Gamer ATX 6 Coolers RGB! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Mid Tower ATX
• Panel lateral: Vidrio Templado
• Ventilación: Incluye 6 ventiladores ARGB de 120mm
• Excelente Airflow

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",118.37,7,Componente,Nuevo,11
Gabinete Lian Li H9 Flow,"¡Potenciá tu setup con Gabinete Lian Li H9 Flow! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Dual Chamber Mid Tower
• Paneles: Vidrio templado frontal y lateral sin bordes
• Soporte Múltiple Radiadores (360mm)

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",165.58,10,Componente,Nuevo,11
Gabinete ASUS TUF GT502,"¡Potenciá tu setup con Gabinete ASUS TUF GT502! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Dual Chamber ATX
• Materiales: Aluminio y Vidrio Templado
• Soporta 13 ventiladores
• Asas de transporte de tela

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",251.8,11,Componente,Nuevo,11
Gabinete Thermaltake Cosmos,"¡Potenciá tu setup con Gabinete Thermaltake Cosmos! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de Gabinetes.

--- CARACTERÍSTICAS TÉCNICAS ---
• Formato: Full Tower
• Materiales premium
• Paneles de aluminio curvo
• Soporte para custom liquid cooling avanzado

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",393.43,3,Componente,Nuevo,11
Cooler CPU Generico,"¡Potenciá tu setup con Cooler CPU Generico! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Refrigeracion.

--- CARACTERÍSTICAS TÉCNICAS ---
• Tipo: Disipador por aire
• Socket: Universal Intel/AMD
• Tamaño de ventilador: 90mm
• TDP Máx: 65W

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",9.58,64,Componente,Nuevo,12
